InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2010-12-01 09:00,2.55,17850,United Kingdom
536371,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2010-12-01 09:00,4.25,17850,United Kingdom
536371,22114,HOT WATER BOTTLE TEA AND SYMPATHY,6,2010-12-01 09:00,4.95,17850,United Kingdom
536371,22112,CHOCOLATE HOT WATER BOTTLE,6,2010-12-01 09:00,4.95,17850,United Kingdom
536372,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,12,2010-12-01 09:01,4.25,17850,United Kingdom
536372,22376,AIRLINE BAG VINTAGE JET SET BROWN,12,2010-12-01 09:01,4.25,17850,United Kingdom
536373,85099B,JUMBO BAG RED RETROSPOT,50,2010-12-01 09:09,1.95,17850,United Kingdom
536374,22492,MINI PAINT SET VINTAGE,12,2010-12-01 09:32,0.65,14688,United Kingdom
536374,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 09:32,0.42,14688,United Kingdom
536374,22551,PLASTERS IN TIN SPACEBOY,24,2010-12-01 09:32,1.65,14688,United Kingdom
536374,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 09:32,0.55,14688,United Kingdom
536374,21213,PACK OF 72 SKULL CAKE CASES,12,2010-12-01 09:32,0.42,14688,United Kingdom
536374,22053,EMPIRE DESIGN ROSEBUD CHROME LIGHTER,12,2010-12-01 09:32,1.25,14688,United Kingdom
536375,22866,HAND WARMER OWL DESIGN,12,2010-12-01 09:34,1.45,14606,United Kingdom
536375,21212,PACK OF 72 RETROSPOT CAKE CASES,12,2010-12-01 09:34,0.42,14606,United Kingdom
536375,22632,HAND WARMER RED POLKA DOT,12,2010-12-01 09:34,1.85,14606,United Kingdom
536376,22960,JAM MAKING SET WITH JARS,12,2010-12-01 09:37,4.25,13113,United Kingdom
536376,23084,RABBIT NIGHT LIGHT,12,2010-12-01 09:37,1.69,13113,United Kingdom
536376,22551,PLASTERS IN TIN SPACEBOY,24,2010-12-01 09:37,1.65,13113,United Kingdom
536377,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2010-12-01 09:41,1.69,17677,United Kingdom
536377,22913,NATURAL SLATE HEART CHALKBOARD,12,2010-12-01 09:41,4.25,17677,United Kingdom
536377,22423,REGENCY CAKESTAND 3 TIER,12,2010-12-01 09:41,12.75,17677,United Kingdom
536378,22960,JAM MAKING SET WITH JARS,6,2010-12-01 09:50,4.25,13093,United Kingdom
536378,21754,HOME BUILDING BLOCK WORD,4,2010-12-01 09:50,5.95,13093,United Kingdom
536378,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-01 09:50,1.69,13093,United Kingdom
536378,22745,POPPY'S PLAYHOUSE BEDROOM,12,2010-12-01 09:50,2.1,13093,United Kingdom
536378,22748,POPPY'S PLAYHOUSE KITCHEN,12,2010-12-01 09:50,2.1,13093,United Kingdom
536378,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,2010-12-01 09:50,3.75,13093,United Kingdom
536378,22310,IVORY KNITTED MUG COSY,12,2010-12-01 09:50,1.65,13093,United Kingdom
536379,21755,LOVE BUILDING BLOCK WORD,6,2010-12-01 09:52,5.95,15311,United Kingdom
536379,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 09:52,7.95,15311,United Kingdom
536379,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-01 09:52,4.95,15311,United Kingdom
536379,22492,MINI PAINT SET VINTAGE,36,2010-12-01 09:52,0.65,15311,United Kingdom
536380,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2010-12-01 09:55,3.39,14646,United Kingdom
536380,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2010-12-01 09:55,3.39,14646,United Kingdom
536380,22111,SCOTTIE DOG HOT WATER BOTTLE,12,2010-12-01 09:55,4.95,14646,United Kingdom
536380,84406B,CREAM CUPID HEARTS COAT HANGER,12,2010-12-01 09:55,2.75,14646,United Kingdom
536381,22139,RETROSPOT TEA SET CERAMIC 11 PC,12,2010-12-01 10:01,4.95,14570,United Kingdom
536381,22138,BAKING SET 9 PIECE RETROSPOT,12,2010-12-01 10:01,4.95,14570,United Kingdom
536381,21754,HOME BUILDING BLOCK WORD,12,2010-12-01 10:01,5.95,14570,United Kingdom
536381,21755,LOVE BUILDING BLOCK WORD,12,2010-12-01 10:01,5.95,14570,United Kingdom
536382,20685,DOORMAT NEW ENGLAND,10,2010-12-01 10:03,7.08,17511,United Kingdom
536382,22145,CHRISTMAS CRAFT HEART DECORATIONS,12,2010-12-01 10:03,1.25,17511,United Kingdom
536382,22144,CHRISTMAS CRAFT STAR DECORATIONS,12,2010-12-01 10:03,1.25,17511,United Kingdom
536383,84029E,RED WOOLLY HOTTIE WHITE HEART,24,2010-12-01 10:04,3.39,16422,United Kingdom
536383,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2010-12-01 10:04,3.39,16422,United Kingdom
536383,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2010-12-01 10:04,4.95,16422,United Kingdom
536384,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2010-12-01 10:18,2.55,16446,United Kingdom
536384,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2010-12-01 10:18,4.25,16446,United Kingdom
536384,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 10:18,0.42,16446,United Kingdom
536384,22111,SCOTTIE DOG HOT WATER BOTTLE,12,2010-12-01 10:18,4.95,16446,United Kingdom
536384,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2010-12-01 10:18,1.69,16446,United Kingdom
536384,22139,RETROSPOT TEA SET CERAMIC 11 PC,12,2010-12-01 10:18,4.95,16446,United Kingdom
536384,22138,BAKING SET 9 PIECE RETROSPOT,12,2010-12-01 10:18,4.95,16446,United Kingdom
536384,22492,MINI PAINT SET VINTAGE,48,2010-12-01 10:18,0.65,16446,United Kingdom
536385,22960,JAM MAKING SET WITH JARS,24,2010-12-01 10:19,4.25,16029,United Kingdom
536385,22913,NATURAL SLATE HEART CHALKBOARD,24,2010-12-01 10:19,4.25,16029,United Kingdom
536385,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 10:19,0.42,16029,United Kingdom
536385,22866,HAND WARMER OWL DESIGN,24,2010-12-01 10:19,1.45,16029,United Kingdom
536385,21977,PACK OF 60 PINK PAISLEY CAKE CASES,48,2010-12-01 10:19,0.55,16029,United Kingdom
536385,21213,PACK OF 72 SKULL CAKE CASES,24,2010-12-01 10:19,0.42,16029,United Kingdom
536386,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2010-12-01 10:20,2.55,12901,France
536386,71053,WHITE METAL LANTERN,6,2010-12-01 10:20,3.39,12901,France
536386,84406B,CREAM CUPID HEARTS COAT HANGER,12,2010-12-01 10:20,2.75,12901,France
536386,20725,LUNCH BAG RED RETROSPOT,12,2010-12-01 10:20,1.65,12901,France
536386,20726,LUNCH BAG CARS BLUE,12,2010-12-01 10:20,1.65,12901,France
536386,20727,LUNCH BAG BLACK SKULL,12,2010-12-01 10:20,1.65,12901,France
536386,20728,LUNCH BAG SUKI DESIGN,12,2010-12-01 10:20,1.65,12901,France
